Price,Brand,Model,Color,Rating,ROM,RAM,Display (inch),Battery (mAh),Camera (MP),Processor,Voice Call,Display
1312,KARBONN,KARBONN K9,nan,4,,,,,,,,
9314,Samsung,Samsung M06 5G,Sage Green,1,128,8,,,,,,
5999,Ai+,Ai+ Pulse,Sparkle Red,4.4,,,6.67,,,,,
1119,itel,itel it5027 Slim,nan,5,,,,,,,,2.4
11200,OPPO,OPPO A3x 5G,Starry Purple,4,,,,7000,,,,
25999,realme,realme P3 Ultra,Neptune Blue,4.4,,,,,,,,
13499,Infinix,Infinix Note 50x,Breeze Green,5,,,,,,,,
2099,LAVA,LAVA Flip,nan,4,,,,,,,,
2239,Nokia,Nokia 106 4G,nan,4.3,128,4,,,,,,106
974,Kechaoda,Kechaoda K115,nan,5,,,6.72,,,,,
32999,POCO,POCO F7 5G,Phantom Black,2,,,,,,,,
33999,MOTOROLA,MOTOROLA Edge 60,Sparkling Grape,4.4,,,,5000,,,,60
13749,Tecno,Tecno Pova 7,Magic Silver,4.5,,,,,,,,7
13749,Tecno,Tecno Pova 7,Geek Black,4.5,,,,,,,,7
24770,Samsung,Samsung Galaxy A55,Awesome Navy,4.3,,,,,,,,
10755,POCO,POCO M6 Plus,Ice Silver,3.1,64,4,,,,,,
17999,Samsung,Samsung Galaxy F36,Violet,4.4,,,6.88,,,,,
11848,realme,realme Narzo 80x,Deep Ocean,4.4,,,,,,,,
884,Kechaoda,Kechaoda A26,nan,4.6,,,,5160,,,,
12999,POCO,POCO M7 Plus,Carbon Black,4.3,,,,,,,,
6999,Ai+,Ai+ Pulse,Green,4.5,,,,,,,,
17983,OnePlus,OnePlus Nord CE4,SUPER SILVER,4.4,128,4,,,,,,
18999,Samsung,Samsung Galaxy A35,Awesome Navy,4.3,,,6.74,,,,,
17960,OnePlus,OnePlus Nord CE4,MEGA BLUE,4.3,,,,,,,,
11699,IQOO,IQOO Z10 Lite,Cyber Green,4.4,,,,6000,,,,
10440,REDMI,REDMI 14C 5G,Stardust Purple,3.8,,,,,,,,
13999,REDMI,REDMI Note 14,Titan Black,4.3,,,,,,,,14
1249,Nokia,Nokia 105 Classic,nan,4.4,64,4,,,,,,105
11499,OPPO,OPPO A3x 5G,Starlight White,4.4,,,6.53,,,,,
23999,realme,realme P3 Ultra,Orion Red,3.7,,,,,,,,
16755,REDMI,REDMI Note 14,Phantom Purple,4.2,,,,4000,,,,14
965,Kechaoda,Kechaoda K115,nan,4.2,,,,,,,,
23999,POCO,POCO X7 Pro,Yellow,4.3,128,4,,,,,,
499,HOTLINE,HOTLINE Turtle-5,nan,4.4,,,6.67,,,,,5
13499,Infinix,Infinix Note 50x,Enchanted Purple,4.3,,,,,,,,
1055,IAIR,IAIR Keypad Mobile,nan,3.7,,,,6000,,,,2800
899,IAIR,IAIR S10 Dual,nan,5,,,,,,,,2.4
13499,Infinix,Infinix Note 50x,Enchanted Purple,1,,,,,,,,
11999,Infinix,Infinix Note 50x,Enchanted Purple,4.2,256,8,,,,,,
999,IAIR,IAIR S50 Dual,nan,4,,,6.67,,,,,2800
499,HOTLINE,HOTLINE Turtle-5,nan,3,,,,,,,,5
22530,IQOO,IQOO Z10 5G,Silver,4.3,,,,5110,,,,
998,KARBONN,KARBONN Sparkle2 Dual,nan,5,,,,,,,,2
6999,Ai+,Ai+ Pulse,Pink,5,,,,,,,,
5999,Ai+,Ai+ Pulse,Green,4.4,256,8,,,,,,
9899,OPPO,OPPO A3x 5G,Starry Purple,4,,,6.67,,,,,
13178,realme,realme Narzo 80x,Sunlit Gold,3,,,,,,,,
11999,Motorola,Motorola g45 5G,Pantone Moss,4.3,,,,5000,,,,
23999,POCO,POCO X7 Pro,Nebula Green,5,,,,,,Processor,,
6199,POCO,POCO C71,Cool Blue,2,,,,,,,,
13749,Tecno,Tecno Pova 7,Oasis Green,3.1,128,4,,,,,,7
490,HOTLINE,HOTLINE Turtle-5,nan,4.5,,,6.74,,,,,5
1627,LAVA,LAVA Gem 2025,nan,4.4,,,,,,,,2025
129999,Samsung,Samsung Galaxy S25,Titanium Silverblue,4.2,,,,6000,,,,
16670,REDMI,REDMI Note 14,Mystique White,4.3,,,,,,,,14
134900,Apple,Apple iPhone 17,Silver,4.5,128,6,,,,,,17
31565,OnePlus,OnePlus Nord 5,Dry Ice,4.5,,,6.67,,,,,5
119900,Apple,Apple iPhone 16,Natural Titanium,3.8,,,,,,,,16
499,HOTLINE,HOTLINE CLASSIC V66,nan,4.4,,,,5110,,,,
33999,Nothing,Nothing Phone,Pro,4.4,,,,,,,,
36800,IQOO,IQOO Neo 10,Inferno Red,3.7,,,,,,,,10
5999,Ai+,Ai+ Pulse,Purple,4.6,128,8,,,,,,
169900,Apple,Apple iPhone 17,Deep Blue,4.4,,,6.5,,,,,17
1449,Motorola,Motorola Moto A10E,nan,4.3,,,,,,,,
9564,REDMI,REDMI 14C 5G,Starlight Blue,4.4,,,,5000,,,,
